   0.000        0.1267747192E+04 + 0.1158265228E+03 i        0.1267747192E+04 + 0.1158265228E+03 i
   0.180        0.1264095337E+04 + 0.1152869339E+03 i        0.1264212891E+04 + 0.1154452896E+03 i
   0.360        0.1253182739E+04 + 0.1136778412E+03 i        0.1253651611E+04 + 0.1143080521E+03 i
   0.540        0.1235139526E+04 + 0.1110281830E+03 i        0.1236185669E+04 + 0.1124338303E+03 i
   0.720        0.1210180176E+04 + 0.1073856583E+03 i        0.1212017212E+04 + 0.1098539581E+03 i
   0.900        0.1178599365E+04 + 0.1028156204E+03 i        0.1181424438E+04 + 0.1066115189E+03 i
   1.080        0.1140770264E+04 + 0.9740007782E+02 i        0.1144760010E+04 + 0.1027604446E+03 i
   1.260        0.1097135864E+04 + 0.9123603058E+02 i        0.1102442383E+04 + 0.9836471558E+02 i
   1.440        0.1048204834E+04 + 0.8443361664E+02 i        0.1054951782E+04 + 0.9349688721E+02 i
   1.620        0.9945430908E+03 + 0.7711410522E+02 i        0.1002823914E+04 + 0.8823699951E+02 i
   1.800        0.9367652588E+03 + 0.6940763092E+02 i        0.9466403198E+03 + 0.8267103577E+02 i
   1.980        0.8755266113E+03 + 0.6145066833E+02 i        0.8870223389E+03 + 0.7688922882E+02 i
   2.160        0.8115129395E+03 + 0.5338354111E+02 i        0.8246203003E+03 + 0.7098461151E+02 i
   2.340        0.7454305420E+03 + 0.4534790039E+02 i        0.7601058350E+03 + 0.6505114746E+02 i
   2.520        0.6779973755E+03 + 0.3748386383E+02 i        0.6941613159E+03 + 0.5918224716E+02 i
   2.700        0.6099313354E+03 + 0.2992765236E+02 i        0.6274713135E+03 + 0.5346885300E+02 i
   2.880        0.5419415894E+03 + 0.2280898285E+02 i        0.5607133179E+03 + 0.4799799347E+02 i
   3.060        0.4747181702E+03 + 0.1624872780E+02 i        0.4945483398E+03 + 0.4285129547E+02 i
   3.240        0.4089232178E+03 + 0.1035670853E+02 i        0.4296120300E+03 + 0.3810349274E+02 i
   3.420        0.3451814575E+03 + 0.5229779720E+01 i        0.3665067749E+03 + 0.3382115936E+02 i
   3.600        0.2840727234E+03 + 0.9501042366E+00 i        0.3057940674E+03 + 0.3006171799E+02 i
   3.780        0.2261249237E+03 +-0.2416262865E+01 i        0.2479876251E+03 + 0.2687251663E+02 i
   3.960        0.1718074341E+03 +-0.4820492268E+01 i        0.1935475464E+03 + 0.2429005241E+02 i
   4.140        0.1215257416E+03 +-0.6231653214E+01 i        0.1428749847E+03 + 0.2233950806E+02 i
   4.320        0.7561763763E+02 +-0.6637246609E+01 i        0.9630815887E+02 + 0.2103460884E+02 i
   4.500        0.3434950638E+02 +-0.6043159962E+01 i        0.5411930084E+02 + 0.2037741470E+02 i
   4.680       -0.2084861279E+01 +-0.4473420143E+01 i        0.1651288414E+02 + 0.2035865974E+02 i
   4.860       -0.3356546783E+02 +-0.1969531775E+01 i       -0.1637585258E+02 + 0.2095796204E+02 i
   5.040       -0.6004549789E+02 + 0.1410483956E+01 i       -0.4448004150E+02 + 0.2214462471E+02 i
   5.220       -0.8154972839E+02 + 0.5593365192E+01 i       -0.6780047607E+02 + 0.2387826347E+02 i
   5.400       -0.9817199707E+02 + 0.1049212837E+02 i       -0.8640320587E+02 + 0.2610988617E+02 i
   5.580       -0.1100714035E+03 + 0.1600803185E+02 i       -0.1004163971E+03 + 0.2878288269E+02 i
   5.760       -0.1174676819E+03 + 0.2203235817E+02 i       -0.1100262222E+03 + 0.3183437538E+02 i
   5.940       -0.1206357651E+03 + 0.2844879341E+02 i       -0.1154720230E+03 + 0.3519646454E+02 i
   6.120       -0.1198996887E+03 + 0.3513560867E+02 i       -0.1170407791E+03 + 0.3879767990E+02 i
   6.300       -0.1156252289E+03 + 0.4196815872E+02 i       -0.1150609436E+03 + 0.4256440735E+02 i
   6.480       -0.1082133789E+03 + 0.4882121658E+02 i       -0.1098956909E+03 + 0.4642229080E+02 i
   6.660       -0.9809201050E+02 + 0.5557136536E+02 i       -0.1019362640E+03 + 0.5029771423E+02 i
   6.840       -0.8570816803E+02 + 0.6209935760E+02 i       -0.9159436035E+02 + 0.5411927795E+02 i
   7.020       -0.7152020264E+02 + 0.6829238892E+02 i       -0.7929509735E+02 + 0.5781888199E+02 i
   7.200       -0.5598975372E+02 + 0.7404606628E+02 i       -0.6546952820E+02 + 0.6133314514E+02 i
   7.380       -0.3957400131E+02 + 0.7926635742E+02 i       -0.5054762268E+02 + 0.6460438538E+02 i
   7.560       -0.2271830368E+02 + 0.8387104797E+02 i       -0.3495133972E+02 + 0.6758155823E+02 i
   7.740       -0.5849122047E+01 + 0.8779150391E+02 i       -0.1908797455E+02 + 0.7022107697E+02 i
   7.920        0.1063224411E+02 + 0.9097334290E+02 i       -0.3344224215E+01 + 0.7248752594E+02 i
   8.100        0.2635544395E+02 + 0.9337750244E+02 i        0.1191930199E+02 + 0.7435376740E+02 i
   8.280        0.4098628235E+02 + 0.9498055267E+02 i        0.2637301636E+02 + 0.7580155182E+02 i
   8.460        0.5423078537E+02 + 0.9577496338E+02 i        0.3972249985E+02 + 0.7682141113E+02 i
   8.640        0.6583863831E+02 + 0.9576895142E+02 i        0.5171180344E+02 + 0.7741242981E+02 i
   8.820        0.7560572052E+02 + 0.9498579407E+02 i        0.6212623596E+02 + 0.7758209991E+02 i
   9.000        0.8337572479E+02 + 0.9346330261E+02 i        0.7079402161E+02 + 0.7734574127E+02 i
   9.180        0.8904068756E+02 + 0.9125255585E+02 i        0.7758732605E+02 + 0.7672593689E+02 i
   9.360        0.9254094696E+02 + 0.8841670227E+02 i        0.8242240906E+02 + 0.7575166321E+02 i
   9.540        0.9386403656E+02 + 0.8502933502E+02 i        0.8525905609E+02 + 0.7445754242E+02 i
   9.720        0.9304266357E+02 + 0.8117279816E+02 i        0.8609916687E+02 + 0.7288273621E+02 i
   9.900        0.9015227509E+02 + 0.7693611908E+02 i        0.8498467255E+02 + 0.7106989288E+02 i
  10.080        0.8530749512E+02 + 0.7241343689E+02 i        0.8199490356E+02 + 0.6906410980E+02 i
  10.260        0.7865827942E+02 + 0.6770123291E+02 i        0.7724319458E+02 + 0.6691170502E+02 i
  10.440        0.7038550568E+02 + 0.6289690399E+02 i        0.7087324524E+02 + 0.6465924072E+02 i
  10.620        0.6069592285E+02 + 0.5809621811E+02 i        0.6305482864E+02 + 0.6235222626E+02 i
  10.800        0.4981718063E+02 + 0.5339152145E+02 i        0.5397938919E+02 + 0.6003422546E+02 i
  10.980        0.3799227142E+02 + 0.4886964417E+02 i        0.4385522842E+02 + 0.5774578476E+02 i
