t;grid16
0.0;0.20729232935942687
0.067;0.20178338620208558
0.134;0.19167918265710518
0.201;0.18876377039581757
0.268;0.1884261583770646
0.335;0.1948066357030937
0.402;0.19743622411607759
0.469;0.20177370959994675
0.536;0.19646714943110927
0.603;0.19942146141743547
0.67;0.18911661864412221
0.737;0.19591270366523564
0.804;0.20481188285650104
0.871;0.2163754246885547
0.938;0.2576564569256187
1.005;0.25469508066476426
1.072;0.23341277896745816
1.139;0.20170587200202994
1.206;0.20754935578850614
1.273;0.20762543640176104
1.34;0.20846416074936672
1.407;0.2007920183994702
1.474;0.19837655641499544
1.541;0.2062476965429583
1.608;0.2048971270404087
1.675;0.1882169478385804
1.742;0.20277428072668596
1.809;0.19672214265581456
1.876;0.20549791424516814
1.943;0.21369649386801656
2.01;0.19937759508356218
2.077;0.21753069294586977
2.144;0.21892515834816342
2.211;0.25349218042777244
2.278;0.27447560649758873
2.345;0.2876877721159133
2.412;0.24142462360936393
2.479;0.20514851668645656
2.546;0.2242735325512229
2.613;0.1893365881258805
2.68;0.21037021742252293
2.747;0.19942641754854123
2.814;0.1912037275227799
2.881;0.19203596568939468
2.948;0.19587212140444044
3.015;0.20217927650112577
3.082;0.20088565406025993
3.149;0.20103888272573917
3.216;0.21619751608860055
3.283;0.2195398586487674
3.35;0.196904636185435
3.417;0.2121296287130615
3.484;0.20807255648485273
3.551;0.22512245355880864
3.618;0.3097998218119549
3.685;0.2820165947615236
3.752;0.21554545102783473
3.819;0.2071540198281575
3.886;0.22809063725076661
3.953;0.19638907339396997
4.02;0.21552805699273578
4.087;0.20594053430237658
4.154;0.19216388656705838
4.221;0.19186891464746364
4.288;0.1976636673062686
4.355;0.20152594750216316
4.422;0.20430748785650157
4.489;0.20704671912726938
4.556;0.2051027328743566
4.623;0.19561802686872481
4.69;0.195538738597087
4.757;0.2108633401528357
4.824;0.1970839593163693
4.891;0.20808625115199908
4.958;0.2385935732565288
5.025;0.24884390280544336
5.092;0.22344137096351893
5.159;0.20377076997065768
5.226;0.1966580663926012
5.293;0.19890532571010447
5.36;0.21897484377858828
5.427;0.20662473170295242
5.494;0.1945009866063623
5.561;0.1916026659456746
5.628;0.19175109926580944
5.695;0.1972441899432886
5.762;0.1993362359127076
5.829;0.19110029615951757
5.896;0.2132312617591247
5.963;0.20436170838769235
6.03;0.20783965512227529
6.097;0.19850071475907802
6.164;0.22253160225663726
6.231;0.2556858436519957
6.298;0.3002676587246025
6.365;0.2736952329963168
6.432;0.22870782349410246
6.499;0.2080527768379165
6.566;0.23200510759545886
6.633;0.2089641979884324
6.7;0.20142170939155202
6.767;0.20035806389932398
6.834;0.19313496923331344
6.901;0.19347022694860672
6.968;0.21017631549060525
7.035;0.20278870622012213
7.102;0.2162296206672533
7.169;0.2233236219026155
7.236;0.2133905888320853
7.303;0.21154558080092517
7.37;0.21361132400417837
7.437;0.2059967469912202
7.504;0.22038861219913672
7.571;0.23189762380618226
7.638;0.2620812454685994
7.705;0.27366840996542424
7.772;0.25582581148701783
7.839;0.22474087835429465
7.906;0.22911097973399536
7.973;0.22506256156369542
8.04;0.23647476297678136
8.107;0.2119739686467112
8.174;0.19913071872314228
8.241;0.1923361219048104
8.308;0.20114915440455858
8.375;0.20568996048815175
8.442;0.20986827596132626
8.509;0.19935744693351176
8.576;0.20686917251094028
8.643;0.19248922310685374
8.71;0.2102196875967519
8.777;0.20604076927009943
8.844;0.21728239617394912
8.911;0.21639096816994968
8.978;0.2567504253444174
9.045;0.242671681614228
9.112;0.22599945654534392
9.179;0.21330574351259476
9.246;0.21271328308008663
9.313;0.22485014255877003
9.38;0.23982249517564755
9.447;0.20690048366164562
9.514;0.1892920598178422
9.581;0.19373435111564133
9.648;0.22091814432976237
9.715;0.21283404559037475
9.782;0.22484459985269697
9.849;0.20022518988133786
9.916;0.20712676417465742
9.983;0.20553461041943125
10.05;0.20197985000565566
10.117;0.2196367803936765
10.184;0.21521487785516943
10.251;0.22703895034833946
10.318;0.2715595866961038
10.385;0.261904343153036
10.452;0.24435136621516787
10.519;0.22399807958459664
10.586;0.20394336930979123
10.653;0.2603762651225269
10.72;0.22402384133713646
10.787;0.21936896358293964
10.854;0.193282725977431
10.921;0.19066661168225824
10.988;0.20815785295372094
11.055;0.20112720182881538
11.122;0.2132482549802548
11.189;0.2161641266598471
11.256;0.23318885030841588
11.323;0.19920689166343292
11.39;0.20501787707435323
11.457;0.2158418631709866
11.524;0.20639911168954705
11.591;0.2348871830898043
11.658;0.2511288273653426
11.725;0.25724947664775055
11.792;0.22751727146586373
11.859;0.2060583271156974
11.926;0.22867906509843178
11.993;0.22013698509811153
12.06;0.22622778213322978
12.127;0.20318161563208353
12.194;0.1955768396526573
12.261;0.20829128627588808
12.328;0.1978769328408882
12.395;0.20827420458133528
12.462;0.2015315655957176
12.529;0.20241225065489044
12.596;0.2095875869281152
12.663;0.21666918132969135
12.73;0.20071530204846924
12.797;0.21602440164977416
12.864;0.21893567173196762
12.931;0.23674059821656268
12.998;0.2576092177601747
13.065;0.2686821025365114
13.132;0.22354283897812458
13.199;0.21146897768300313
13.266;0.22155610222079555
13.333;0.22628888321371834
13.4;0.2143175969792732
13.467;0.20903197054735664
13.534;0.20816364325745837
13.601;0.19737053182694886
13.668;0.20396694968046136
13.735;0.20400998834472311
13.802;0.212941764780657
13.869;0.20274093905729712
13.936;0.2274340861814097
14.003;0.21331816317334917
14.07;0.21589681664068874
14.137;0.20711367855626905
14.204;0.207877777528074
14.271;0.24121904920508103
14.338;0.26008324907701535
14.405;0.2612752330340429
14.472;0.21837276626861785
14.539;0.21121344160616762
14.606;0.23606073389843557
14.673;0.19870551944816975
14.74;0.23168660138910827
14.807;0.2011665817850692
14.874;0.19652153845792109
14.941;0.1974032193028412
15.008;0.20443712326294877
15.075;0.206501143807229
15.142;0.20931618820481449
15.209;0.22657857317107238
15.276;0.22494058309064452
15.343;0.23391904033295166
15.41;0.2370695053575484
15.477;0.24098563663659028
15.544;0.2576635873577096
15.611;0.2463387334927397
15.678;0.2961331215067372
15.745;0.37584039948578224
15.812;0.2451890909950268
15.879;0.2021122468897628
15.946;0.24945451044527184
16.013;0.24821234112208157
16.08;0.21538615818034978
16.147;0.2154353107663128
16.214;0.20260708942447084
16.281;0.2154100744880944
16.348;0.2062602832441501
16.415;0.21236125791009763
16.482;0.22480179561611877
16.549;0.20494671179453225
16.616;0.2104305191749348
16.683;0.23852506809782437
16.75;0.2244636274344286
16.817;0.23289718982946064
16.884;0.22787510184714085
16.951;0.23859119586386893
17.018;0.2626345552368233
17.085;0.2764360301480743
17.152;0.24791507603372326
17.219;0.21933358753530224
17.286;0.23178236474027744
17.353;0.24313426739396374
17.42;0.207690277074652
17.487;0.21018774087570988
17.554;0.1967530938424696
17.621;0.20608477100428055
17.688;0.2110132471134824
17.755;0.2113969242832329
17.822;0.21611368584445162
17.889;0.2275741754331869
17.956;0.2161140533345863
18.023;0.22234902672456866
18.09;0.20069499473521624
18.157;0.21664200929872685
18.224;0.2437875580945044
18.291;0.24244295440575386
18.358;0.2802351082224781
18.425;0.34926117680553226
18.492;0.2297922512165878
18.559;0.2221761933926626
18.626;0.2428182288983583
18.693;0.22508957155691964
18.76;0.2487198049724007
18.827;0.2062879488289398
18.894;0.20140137424439808
18.961;0.1997790613340497
19.028;0.2131678126114227
19.095;0.21281545078048567
19.162;0.20926584819316943
19.229;0.21813185944298913
19.296;0.21677410881290493
19.363;0.22345539007949125
19.43;0.2341071983855727
19.497;0.24945281735885597
19.564;0.2537819461969641
19.631;0.2451755939512953
19.698;0.3079231433303978
19.765;0.29887286734446894
19.832;0.24310415283065323
19.899;0.24296615496940557
19.966;0.22920301554441522
20.033;0.2664596575273061
20.1;0.27912822890130395
20.167;0.2371112434557236
20.234;0.20445517015761022
20.301;0.20612013682707342
20.368;0.22448058127328088
20.435;0.2156862451508621
20.502;0.23327047126876083
20.569;0.2185609123621999
20.636;0.22549830311779195
20.703;0.2335441183046672
20.77;0.20024265239188027
20.837;0.21609667102812316
20.904;0.21629860364074893
20.971;0.23822559971118135
21.038;0.2743162987749593
21.105;0.274087758881334
21.172;0.23818648866274253
21.239;0.21110801044049227
21.306;0.23215138907289407
21.373;0.22131637889435982
21.44;0.2163031622100248
21.507;0.21462116850717086
21.574;0.20191898229533417
21.641;0.20191682433412922
21.708;0.208957892913193
21.775;0.21088561360750543
21.842;0.21720276970132296
21.909;0.23160029975915286
21.976;0.24014851902483075
22.043;0.23388681640167922
22.11;0.2363546796756424
22.177;0.2350488502279916
22.244;0.22325494143456015
22.311;0.2521744931967029
22.378;0.2881832730247122
22.445;0.2563053826000283
22.512;0.23093439839461455
22.579;0.24029435398531424
22.646;0.23343969304581588
22.713;0.23399162008842644
22.78;0.24995760473251658
22.847;0.22657992888754247
22.914;0.20165642366994882
22.981;0.2166741877387045
23.048;0.2237110634222921
23.115;0.22853514014399207
23.182;0.23419186954245796
23.249;0.2154285465886232
23.316;0.24663308600626732
23.383;0.22075232012609805
23.45;0.2090829356674296
23.517;0.22156249525855604
23.584;0.22449627188257215
23.651;0.24518369805449491
23.718;0.2756691570797557
23.785;0.25899093350414215
23.852;0.2154890244055283
23.919;0.21590353867358827
23.986;0.22731149786238156
24.053;0.2405782206726254
24.12;0.2825081728336536
24.187;0.23454250219664044
24.254;0.1993726352572524
24.321;0.20711878246729612
24.388;0.21300134880205585
24.455;0.21128829537182017
24.522;0.2097613138597065
24.589;0.21384703047601047
24.656;0.25219930173666816
24.723;0.2344863555420956
24.79;0.21839121867674105
24.857;0.2313554590882689
24.924;0.23555047632517262
24.991;0.27684006508297254
25.058;0.2847510458779383
25.125;0.2944827906544265
25.192;0.24919419306495477
25.259;0.22115196342429755
25.326;0.2382584824755411
25.393;0.2569737752099821
25.46;0.27080107012991617
25.527;0.23101057764764701
25.594;0.20568098251814554
25.661;0.21702057090255275
25.728;0.22721518401134003
25.795;0.21328230318901484
25.862;0.2366981355665625
25.929;0.22252239205578936
25.996;0.2111828526726197
26.063;0.2252772132936464
26.13;0.2184357049940375
26.197;0.2279594945935524
26.264;0.21033116017480766
26.331;0.2665965325864331
26.398;0.3255361207724512
26.465;0.31741776694794627
26.532;0.24613227254172632
26.599;0.21784539827738408
26.666;0.23545629982158606
26.733;0.22889930855059124
26.8;0.2625629682217495
26.867;0.24779834867384087
26.934;0.20704150020696213
27.001;0.20467272171126907
27.068;0.22686454866651828
27.135;0.21582455435439235
27.202;0.22700162962473427
27.269;0.22019562252316216
27.336;0.233077958667809
27.403;0.24148573772458007
27.47;0.22425867672118138
27.537;0.26091420821312916
27.604;0.23034518569011497
27.671;0.2670390149711743
27.738;0.3004632627466254
27.805;0.2953711918953915
27.872;0.24150045424130318
27.939;0.2207811412941881
28.006;0.2350088304042476
28.073;0.23238816761050624
28.14;0.2542559433183707
28.207;0.2176050449949462
28.274;0.20320148052760723
28.341;0.2031588484873612
28.408;0.2240338155635189
28.475;0.22674052218284324
28.542;0.20083849755694005
28.609;0.23101941138452675
28.676;0.23609148062412452
28.743;0.24794708836311163
28.81;0.25650882293206856
28.877;0.2307464530895559
28.944;0.2608435240177639
29.011;0.2544052921329907
29.078;0.2692928998371212
29.145;0.2840879032753997
29.212;0.24878543164995096
29.279;0.24192305873594813
29.346;0.2537312394764973
29.413;0.311426925811697
29.48;0.25781863204483907
29.547;0.23519881684704716
29.614;0.21728393651500952
29.681;0.21976554987477534
29.748;0.1999820954714184
29.815;0.22878648154085035
29.882;0.22874829485193693
29.949;0.23072622168220544
30.016;0.24056594632927272
30.083;0.2597695049679412
30.15;0.23938301782380292
30.217;0.27838247962795426
30.284;0.2509788847515895
30.351;0.25346436538659417
30.418;0.2816621247895194
30.485;0.2950859292268904
30.552;0.23564494430755892
30.619;0.23012339255819317
30.686;0.2437887408747782
30.753;0.2484181261888522
30.82;0.2763433251048434
30.887;0.2334949574088911
30.954;0.21172350588644992
31.021;0.20945517463833713
31.088;0.2401267949085006
31.155;0.22179567063629113
31.222;0.21625674026695496
31.289;0.21368858664961976
31.356;0.2237841548854724
31.423;0.24125977997603115
31.49;0.2524506773831162
31.557;0.22406058936721904
31.624;0.2322244786791263
31.691;0.26443814802751126
31.758;0.28060274908868404
31.825;0.268728894667889
31.892;0.25748887668660086
31.959;0.3049777828732855
32.026;0.27260276975880826
32.093;0.24147076763422914
32.16;0.2748900711049042
32.227;0.2719132362694555
32.294;0.20918807496328032
32.361;0.20670937325140415
32.428;0.22841470466278566
32.495;0.22184813500436035
32.562;0.2204509398724448
32.629;0.23322229410891016
32.696;0.22997072676116398
32.763;0.24379278818016742
32.83;0.21826318905538095
32.897;0.21556662459903636
32.964;0.22109643299995563
33.031;0.23726629400582017
33.098;0.2857831188148779
33.165;0.2788860645451308
33.232;0.251188203381541
33.299;0.21394612087046777
33.366;0.2616943135361344
33.433;0.2632298851054582
33.5;0.25828859460951475
33.567;0.25315671611915413
33.634;0.2051723884638979
33.701;0.20613071263471983
33.768;0.22833719896530566
33.835;0.21156329629558357
33.902;0.23013583698871154
33.969;0.2319328140659118
34.036;0.25932091514376726
34.103;0.22610033905295646
34.17;0.24745025866068865
34.237;0.2612379589659616
34.304;0.22598783579580414
34.371;0.255721441168814
34.438;0.2871015156839829
34.505;0.3044658190035238
34.572;0.2548457244259709
34.639;0.22514683389513584
34.706;0.26010879427340067
34.773;0.24268967354392715
34.84;0.24364911954705243
34.907;0.230315946967039
34.974;0.20450912393012202
35.041;0.2117309056975524
35.108;0.2144015777151892
35.175;0.22170029014568685
35.242;0.22025855937675795
35.309;0.2424540734693065
35.376;0.21442568293880157
35.443;0.2349124872146182
35.51;0.23341762310015468
35.577;0.24497085076056907
35.644;0.26867825392798056
35.711;0.27647107823460687
35.778;0.3234016088717089
35.845;0.2950986686727389
35.912;0.2422831369062164
35.979;0.20728603654851005
36.046;0.23990709289265888
36.113;0.23124821247064048
36.18;0.3147669995177845
36.247;0.22540618042357327
36.314;0.2039829665525254
36.381;0.2093709172814658
36.448;0.21561249735544558
36.515;0.19719029860766438
36.582;0.23487150492134212
36.649;0.21118181055509766
36.716;0.22258210408373924
36.783;0.20683646018716112
36.85;0.24940495111668684
36.917;0.2259662025801037
36.984;0.2505481099852499
37.051;0.25930411047759294
37.118;0.29425900897040885
37.185;0.28995328448073476
37.252;0.23394434671889205
37.319;0.22794179620799773
37.386;0.25402934259815774
37.453;0.22522817679034518
37.52;0.2638105781738297
37.587;0.25200299739357623
37.654;0.22099835506571258
37.721;0.21536918476932607
37.788;0.24941237813424363
37.855;0.2213664066279241
37.922;0.23981003303109175
37.989;0.22591533545079304
38.056;0.2155187183629399
38.123;0.23162766277901395
38.19;0.21959421941777071
38.257;0.24749872888314017
38.324;0.22401077716128823
38.391;0.26721537828877323
38.458;0.2847349609927781
38.525;0.2704322538605653
38.592;0.2450161495994217
38.659;0.22831543614162306
38.726;0.23580814788601165
38.793;0.2414968885266462
38.86;0.23467086638976256
38.927;0.25202230961954175
38.994;0.24245323451137069
39.061;0.22358248515828488
39.128;0.24958684372099274
39.195;0.23893230129492302
39.262;0.2302824169191161
39.329;0.2345193480940277
39.396;0.24291328096268844
39.463;0.2406201040712972
39.53;0.23754052940092715
39.597;0.26373020734100533
39.664;0.25894313000887303
39.731;0.26173369414707226
39.798;0.3413885379968764
39.865;0.2754768544946407
39.932;0.2408876406216744
39.999;0.22137519863822164
40.066;0.22809817223005793
40.133;0.24204779454665837
40.2;0.2726840439291027
40.267;0.2546736895249297
40.334;0.20868249435540867
40.401;0.21006967199925333
40.468;0.2234119274019901
40.535;0.2222694503500596
40.602;0.23399085585858853
40.669;0.2395173224912857
40.736;0.24718437291291362
40.803;0.27925327755976487
40.87;0.23398933519428747
40.937;0.24502986839961555
41.004;0.24156611434372224
41.071;0.2556285470002848
41.138;0.2722055057328322
41.205;0.30835110711958275
41.272;0.2528237239637003
41.339;0.23637889098585999
41.406;0.2565808290934219
41.473;0.2600288734676458
41.54;0.2656647769123063
41.607;0.2394900055508287
41.674;0.20656188837062614
41.741;0.21996744235131485
41.808;0.23561579485371742
41.875;0.22520888738797964
41.942;0.24362137929653335
42.009;0.25337102299184294
42.076;0.2496651947725303
42.143;0.2309545630585378
42.21;0.24780411810590255
42.277;0.24613103880575138
42.344;0.2800618727571171
42.411;0.2770136322533249
42.478;0.309822822341648
42.545;0.2895392125630566
42.612;0.26349709809393457
42.679;0.24656412290064664
42.746;0.2653848097180684
42.813;0.2603076131676568
42.88;0.27705123559688694
42.947;0.24040704236270694
43.014;0.20974474261914453
43.081;0.20943840697970784
43.148;0.23165945843182534
43.215;0.22011169613447154
43.282;0.21560943842592092
43.349;0.23957225941855154
43.416;0.24537016409311335
43.483;0.23519687897968802
43.55;0.2552908800239265
43.617;0.25034762603548966
43.684;0.23898122094118232
43.751;0.2665519156996152
43.818;0.3139892963557011
43.885;0.33584083677573207
43.952;0.2655061229431221
44.019;0.25875300207966784
44.086;0.27108012892244676
44.153;0.3236901528421972
44.22;0.2798481633200372
44.287;0.2538061445716465
44.354;0.22147752983213412
44.421;0.214827432260349
44.488;0.24087957105058935
44.555;0.22649693213658753
44.622;0.22058019590910638
44.689;0.25707832870902225
44.756;0.24752223038282312
44.823;0.26610099840444534
44.89;0.25700430384636413
44.957;0.2714502356525993
45.024;0.2642690634169112
45.091;0.2818516819217139
45.158;0.3227611191011627
45.225;0.32879600647700247
45.292;0.25080897769531274
45.359;0.2436598000114301
45.426;0.2647507653865416
45.493;0.2989010485084586
45.56;0.309708990331986
45.627;0.24468829870352388
45.694;0.21308704686547403
45.761;0.23867311600767138
45.828;0.24273281956045456
45.895;0.24515114113241715
45.962;0.24804445388845658
46.029;0.2507672692374718
46.096;0.2593241600408673
46.163;0.2577816534105873
46.23;0.27376848728195524
46.297;0.24455022546147995
46.364;0.30079047311700213
46.431;0.2723591985099233
46.498;0.33475094086319285
46.565;0.32662504159811945
46.632;0.2738873250251803
46.699;0.2684140234941126
46.766;0.29168671013146663
46.833;0.3353567607099749
46.9;0.2494303055654113
46.967;0.254827377914151
47.034;0.22666435317916217
47.101;0.22632467072909537
47.168;0.24576738817144234
47.235;0.22517220183155245
47.302;0.23700174411650202
47.369;0.23317609251538726
47.436;0.23960679891709047
47.503;0.2541605947969794
47.57;0.25984931920213084
47.637;0.3156792153520686
47.704;0.2645527291412382
47.771;0.30970272306783775
47.838;0.3253493125687865
47.905;0.30902925145864485
47.972;0.2583727031135209
48.039;0.2551587169901215
48.106;0.3225742030803315
48.173;0.2591325326217297
48.24;0.3261506216392784
48.307;0.2687623784122077
48.374;0.2304023552756746
48.441;0.22725512922500749
48.508;0.23157769482300244
48.575;0.2359793873801345
48.642;0.2568420641006417
48.709;0.26009076832206074
48.776;0.2881423932243111
48.843;0.2825533514401692
48.91;0.27579241770328644
48.977;0.24904388568064326
49.044;0.266562858751794
49.111;0.33526576329756264
49.178;0.3249715793791992
49.245;0.31784793773102143
49.312;0.26393123723015677
49.379;0.2762953044983225
49.446;0.3179045089422066
49.513;0.33626408578771677
49.58;0.31314049027382357
49.647;0.2945296522718918
49.714;0.23202349630620686
49.781;0.23647924744430124
49.848;0.2603069445485396
49.915;0.2644917062396658
49.982;0.23400207129649325
50.049;0.2719232865258565
50.116;0.2537126637775225
50.183;0.2779612188058844
50.25;0.23425041633776503
50.317;0.3213735776654201
50.384;0.2988353331164876
50.451;0.30948279139022616
50.518;0.33069295544255584
50.585;0.36933891322139595
50.652;0.3545765026390068
50.719;0.2699553090761055
50.786;0.3535440422815863
50.853;0.3773503742386881
50.92;0.5186823567806484
50.987;0.40637035558981394
51.054;0.3769649798680216
51.121;0.4087071252340345
51.188;0.39228765778895486
51.255;0.36474327321762645
51.322;0.44384076494208796
51.389;0.37480637512383924
51.456;0.5371300434187716
51.523;0.43495898334573596
51.59;0.5531687075834318
51.657;0.42682794147113745
51.724;0.5100686193148668
51.791;0.5498790366869023
51.858;0.5434055113753451
51.925;0.49015774406300733
51.992;0.35737606496243124
52.059;0.4762576819061946
52.126;0.5540793302744319
52.193;0.5830207885307197
52.26;0.7281733973761639
52.327;0.7445160640166066
52.394;0.5323560327142313
52.461;0.6283584700380354
52.528;0.6789376689429512
52.595;0.588123249431243
52.662;0.6057310051422257
52.729;0.5691643703873592
52.796;0.5275387797610369
52.863;0.6282272228617901
52.93;0.4200929831677701
52.997;0.5695559292519125
53.064;0.525136590660385
53.131;0.5479942299335414
53.198;0.6534106613732349
53.265;0.5217384429112928
53.332;0.41907794405818
53.399;0.4216768395355144
53.466;0.6885915775263449
53.533;0.6569750184960138
53.6;0.6587433848941744
