t;grid16
0.0;0.2777894089690305
0.067;0.2794306456373371
0.134;0.2865674015102416
0.201;0.2956916872249641
0.268;0.3173768521418249
0.335;0.2669222894613598
0.402;0.28156640384125475
0.469;0.3289724454053064
0.536;0.36146964959431277
0.603;0.33284422298241084
0.67;0.3202649182963402
0.737;0.38414124071905287
0.804;0.40315311195692277
0.871;0.45168911411020046
0.938;0.4518276723738282
1.005;0.5636239276849282
1.072;0.4270444584336467
1.139;0.46063546454790694
1.206;0.36592618116048464
1.273;0.3260810411321193
1.34;0.29373445087351363
1.407;0.2673270708367853
1.474;0.2769786920849383
1.541;0.3070783325178482
1.608;0.32604743861473656
1.675;0.30963916816918413
1.742;0.3496558684239772
1.809;0.3111869589156972
1.876;0.3077341923941743
1.943;0.366375888135056
2.01;0.39387376616068936
2.077;0.35760546933328613
2.144;0.4234870056848677
2.211;0.4615592191629568
2.278;0.5223131735602167
2.345;0.5358844568127403
2.412;0.5131632313610865
2.479;0.45901268834921155
2.546;0.4011998994341026
2.613;0.344904710839438
2.68;0.33437258693640176
2.747;0.28547297185405124
2.814;0.27462628515968174
2.881;0.33671543298538514
2.948;0.31485432565685406
3.015;0.30158214304889364
3.082;0.3481158977846236
3.149;0.32649320491986883
3.216;0.32086050166009017
3.283;0.36645133067298447
3.35;0.4249467212671948
3.417;0.36476062465102577
3.484;0.5053631767936585
3.551;0.4565181264469172
3.618;0.43864927769176915
3.685;0.4849764847259588
3.752;0.49078780368177355
3.819;0.5151742369224448
3.886;0.391699706260447
3.953;0.32463852528451476
4.02;0.36883767215518193
4.087;0.271596021748193
4.154;0.26981365379743283
4.221;0.3078304570270303
4.288;0.36692907120288487
4.355;0.29775698455637056
4.422;0.3162034375887912
4.489;0.42760032138980425
4.556;0.36091408498263083
4.623;0.3851152537148789
4.69;0.3430612331099897
4.757;0.459431051697361
4.824;0.4510439261091475
4.891;0.3967742449464817
4.958;0.48381706383691175
5.025;0.5639156354477701
5.092;0.48559031907358524
5.159;0.49053275910833255
5.226;0.39288890209831934
5.293;0.32060523894149207
5.36;0.2927236376156313
5.427;0.2473948657853725
5.494;0.26853359769262447
5.561;0.2961447918858534
5.628;0.3269780955091394
5.695;0.3133318667033763
5.762;0.33324490662308925
5.829;0.31663982107235566
5.896;0.3705639127595956
5.963;0.3474888098292232
6.03;0.4243231317606669
6.097;0.40340866428862787
6.164;0.45973910065237766
6.231;0.4395857699808923
6.298;0.5312052493190587
6.365;0.5376199290205766
6.432;0.45894270266667714
6.499;0.5285517492987936
6.566;0.4272012256037745
6.633;0.3346962403730587
6.7;0.30217269735467983
6.767;0.297137785920041
6.834;0.3254204338779506
6.901;0.3152945584119299
6.968;0.3667431637534996
7.035;0.3433393095464859
7.102;0.37092937722666014
7.169;0.34842930895652013
7.236;0.35862564345880166
7.303;0.4005665165232733
7.37;0.4425658432549656
7.437;0.4127896002493039
7.504;0.5140993864642737
7.571;0.5239820650933593
7.638;0.494342132315906
7.705;0.501764764180237
7.772;0.5143599643355217
7.839;0.4643188060649071
7.906;0.44111855524928895
7.973;0.3395319355500646
8.04;0.32033140729706494
8.107;0.29437377421702576
8.174;0.2800451023903146
8.241;0.2954755605914435
8.308;0.34764274235207643
8.375;0.333315178311057
8.442;0.3104841925250559
8.509;0.34675824708394154
8.576;0.32637931023405925
8.643;0.32199700298215833
8.71;0.39937239153120657
8.777;0.43934260584467105
8.844;0.469982298703622
8.911;0.4292589639005881
8.978;0.5095791966779566
9.045;0.5518579414270889
9.112;0.4780417659601108
9.179;0.47659281605889553
9.246;0.40614135570171556
9.313;0.35388996872625156
9.38;0.30046457940491317
9.447;0.3078403448578254
9.514;0.2985579550929737
9.581;0.3117498517513622
9.648;0.3238768445829622
9.715;0.3404657889990557
9.782;0.38283046597122633
9.849;0.37620887861143776
9.916;0.34764749086304103
9.983;0.3381812949416998
10.05;0.53387712460766
10.117;0.4712748547899643
10.184;0.48114348494155845
10.251;0.539650301346272
10.318;0.5303832696205
10.385;0.5728139018444246
10.452;0.4435325695078907
10.519;0.5462041207667397
10.586;0.40162714151273454
10.653;0.3505858756171903
10.72;0.3112972766975111
10.787;0.283705791246696
10.854;0.30676499913081723
10.921;0.3374948539460456
10.988;0.3740873808925377
11.055;0.3806589397028905
11.122;0.3740822951172152
11.189;0.38023091747558807
11.256;0.43440051873970453
11.323;0.3967323760879713
11.39;0.4600884851659476
11.457;0.4274691551758023
11.524;0.514608665963117
11.591;0.4462755988023941
11.658;0.5223184870158146
11.725;0.5370981552505101
11.792;0.46812228581254683
11.859;0.5393547706825094
11.926;0.4397465662867178
11.993;0.39565553859320485
12.06;0.38982677078636746
12.127;0.3136809533256707
12.194;0.29863966384483476
12.261;0.3364020119376875
12.328;0.3610834652468637
12.395;0.35976452450979257
12.462;0.3330278402979607
12.529;0.42543772881792047
12.596;0.37746786166143576
12.663;0.41706358583603736
12.73;0.5297860483551539
12.797;0.4922177123338437
12.864;0.49655145116581734
12.931;0.5294319900401946
12.998;0.5438738800829894
13.065;0.574678036342865
13.132;0.500002444180703
13.199;0.5071149323892211
13.266;0.4653057740383705
13.333;0.43535172170264924
13.4;0.3543936868919309
13.467;0.3325838297054842
13.534;0.35628427116365435
13.601;0.3302707401739648
13.668;0.33688743687821715
13.735;0.36139998513563026
13.802;0.3600402088549084
13.869;0.34322256778049065
13.936;0.3587123227045375
14.003;0.4061630195543077
14.07;0.4641638516447505
14.137;0.4126499160506948
14.204;0.4706479249230571
14.271;0.5379912227178382
14.338;0.579188693119123
14.405;0.6080927071598533
14.472;0.536768931988577
14.539;0.5374174531519478
14.606;0.4828746288500254
14.673;0.38404543290532156
14.74;0.3192469571763593
14.807;0.3003546004275919
14.874;0.3165365429294161
14.941;0.3483586972973309
15.008;0.3971913861498478
15.075;0.35501486922918546
15.142;0.36344567441806586
15.209;0.38384377782721985
15.276;0.35213846019917655
15.343;0.3874075871116011
15.41;0.41203336148726993
15.477;0.5281672046174524
15.544;0.47976875486743487
15.611;0.49201335098462584
15.678;0.48556648240765815
15.745;0.531115578040383
15.812;0.4943865450142738
15.879;0.5052268350392876
15.946;0.3933169816560892
16.013;0.3971519050529469
16.08;0.36888562915622286
16.147;0.3165119593607724
16.214;0.3273496387673759
16.281;0.2982509615359261
16.348;0.3612803024492765
16.415;0.32869741745619696
16.482;0.37232103842104675
16.549;0.3878578976966293
16.616;0.388776998997089
16.683;0.40148113406126945
16.75;0.45634211827942034
16.817;0.4314603465317614
16.884;0.5498774340314841
16.951;0.47722862834449975
17.018;0.5185705492506704
17.085;0.49786355312459674
17.152;0.5410360845037937
17.219;0.48976625723296524
17.286;0.4370531518439546
17.353;0.41136655859379995
17.42;0.37564110223309705
17.487;0.3444147535474567
17.554;0.3402649338252967
17.621;0.3288534551496835
17.688;0.3738018975588843
17.755;0.4008644797555741
17.822;0.40336443773673947
17.889;0.38684270844285107
17.956;0.3748086976321315
18.023;0.41750740285378707
18.09;0.5218522877575091
18.157;0.4533495457997793
18.224;0.45574987222439783
18.291;0.5511247308136443
18.358;0.5821385036966865
18.425;0.5549547146632302
18.492;0.5515001688320247
18.559;0.5017641140717606
18.626;0.5217048825918613
18.693;0.3582912783486416
18.76;0.3449026762461299
18.827;0.35138032639571204
18.894;0.3255523575448115
18.961;0.3612417808905163
19.028;0.3523819585822711
19.095;0.38009184280744035
19.162;0.33542318025442375
19.229;0.4105066000960854
19.296;0.4284604140680622
19.363;0.3791669564479564
19.43;0.4714997535916973
19.497;0.5020193298008809
19.564;0.5149937289724321
19.631;0.4973021574776243
19.698;0.5696330916199014
19.765;0.5790829215947952
19.832;0.5345046382093777
19.899;0.5492255284268199
19.966;0.4719450968854416
20.033;0.4121608060647745
20.1;0.3820918555456059
20.167;0.3174546917488409
20.234;0.34863823125724797
20.301;0.3446183581699514
